Time(s),Volts
0.00,-0.0005
0.00,-0.0005
0.01,-0.0005
0.01,-0.0005
0.02,-0.0005
0.02,-0.0005
0.02,-0.000375
0.03,-0.000375
0.03,-0.000625
0.04,-0.000375
0.04,-0.000375
0.04,-0.000625
0.05,-0.000625
0.05,-0.000375
0.06,-0.0005
0.06,-0.0005
0.06,-0.000375
0.07,-0.000375
0.07,-0.0005
0.08,-0.0005
0.08,-0.0005
0.08,-0.0005
0.09,-0.0005
0.09,-0.0005
0.10,-0.000375
0.10,-0.000375
0.10,-0.000625
0.11,-0.000625
0.11,-0.000375
0.12,-0.0005
0.12,-0.0005
0.12,-0.000375
0.13,-0.000375
0.13,-0.000625
0.14,-0.000375
0.14,-0.000375
0.14,-0.000625
0.15,-0.000625
0.15,-0.0005
0.16,-0.0005
0.16,-0.0005
0.16,-0.000625
0.17,-0.000625
0.17,-0.0005
0.18,-0.000625
0.18,-0.000625
0.18,-0.000375
0.19,-0.000375
0.19,-0.000625
0.20,-0.000375
0.20,-0.000375
0.20,-0.000625
0.21,-0.000625
0.21,-0.000375
0.22,-0.000625
0.22,-0.000625
0.22,-0.0005
0.23,-0.0005
0.23,-0.0005
0.24,-0.0005
0.24,-0.0005
0.24,-0.000375
0.25,-0.000375
0.25,-0.0005
0.26,-0.000375
0.26,-0.000375
0.26,-0.000625
0.27,-0.000625
0.27,-0.000375
0.28,-0.000625
0.28,-0.000625
0.28,-0.000375
0.29,-0.000375
0.29,-0.000625
0.30,-0.00025
0.30,-0.00025
0.30,-0.0005
0.31,-0.0005
0.31,-0.0005
0.32,-0.000625
0.32,-0.000625
0.32,-0.000625
0.33,-0.000625
0.33,-0.000375
0.34,-0.0005
0.34,-0.0005
0.34,-0.000375
0.35,-0.000375
0.35,-0.000625
0.36,-0.000375
0.36,-0.000375
0.36,-0.0005
0.37,-0.0005
0.37,-0.000375
0.38,-0.0005
0.38,-0.0005
0.38,-0.0005
0.39,-0.0005
0.39,-0.0005
0.40,-0.000625
0.40,-0.000625
0.40,-0.000375
0.41,-0.000375
0.41,-0.000625
0.42,-0.000375
0.42,-0.000375
0.42,-0.000625
0.43,-0.000625
0.43,-0.0005
0.44,-0.000625
0.44,-0.000625
0.44,-0.0005
0.45,-0.0005
0.45,-0.0005
0.46,-0.0005
0.46,-0.0005
0.46,-0.0005
0.47,-0.0005
0.47,-0.0005
0.48,-0.000375
0.48,-0.000375
0.48,-0.000625
0.49,-0.000625
0.49,-0.000375
0.50,-0.000625
0.50,-0.000625
0.50,-0.00025
0.51,-0.00025
0.51,-0.000625
0.52,-0.000375
0.52,-0.000375
0.52,-0.000625
0.53,-0.000625
0.53,-0.0005
0.54,-0.0005
0.54,-0.0005
0.54,-0.000625
