Time(s),Volts
0.00,-0.000375
0.00,-0.000375
0.01,-0.000375
0.01,-0.000125
0.02,-0.0005
0.02,-0.0005
0.02,-0.000625
0.03,-0.000625
0.03,-0.00075
0.04,-0.000625
0.04,-0.000625
0.04,-0.0005
0.05,-0.0005
0.05,-0.00075
0.06,-0.0005
0.06,-0.0005
0.06,-0.001
0.07,-0.001
0.07,-0.000375
0.08,-0.0005
0.08,-0.0005
0.08,-0.0005
0.09,-0.0005
0.09,-0.0005
0.10,-0.000375
0.10,-0.000375
0.10,-0.0005
0.11,-0.0005
0.11,-0.000375
0.12,-0.000375
0.12,-0.000375
0.12,-0.0005
0.13,-0.0005
0.13,-0.000375
0.14,-0.000375
0.14,-0.000375
0.14,-0.000625
0.15,-0.000625
0.15,-0.0005
0.16,-0.0005
0.16,-0.0005
0.16,-0.000375
0.17,-0.000375
0.17,-0.0005
0.18,-0.0005
0.18,-0.00025
0.18,-0.0005
0.19,-0.0005
0.19,-0.000375
0.20,-0.000375
0.20,-0.000375
0.20,-0.000625
0.21,-0.000625
0.21,-0.000375
0.22,-0.000375
0.22,-0.0005
0.22,-0.000375
0.23,-0.000375
0.23,-0.0005
0.24,-0.0005
0.24,-0.0005
0.24,-0.000375
0.25,-0.000375
0.25,-0.000625
0.26,-0.000625
0.26,-0.0005
0.26,-0.0005
0.27,-0.0005
0.27,-0.00025
0.28,-0.00025
0.28,-0.0005
0.28,-0.0005
0.29,-0.0005
0.29,-0.000375
0.30,-0.000375
0.30,-0.000375
0.30,-0.000375
0.31,-0.0005
0.31,-0.0005
0.32,-0.0005
0.32,-0.000375
0.32,-0.000375
0.33,-0.0005
0.33,-0.000375
0.34,-0.000375
0.34,-0.0005
0.34,-0.0005
0.35,-0.000375
0.35,-0.0005
0.36,-0.0005
0.36,-0.000375
0.36,-0.000375
0.37,-0.00025
0.37,-0.0005
0.38,-0.0005
0.38,-0.0005
0.38,-0.0005
0.39,-0.0005
0.39,-0.0005
0.40,-0.000625
0.40,-0.000375
0.40,-0.000375
0.41,-0.000375
0.41,-0.000375
0.42,-0.000375
0.42,-0.0005
0.42,-0.0005
0.43,-0.000375
0.43,-0.000375
0.44,-0.000375
0.44,-0.0005
0.44,-0.0005
0.45,-0.000375
0.45,-0.000375
0.46,-0.000375
0.46,-0.0005
0.46,-0.0005
0.47,-0.0005
0.47,-0.0005
0.48,-0.000375
0.48,-0.0005
0.48,-0.0005
0.49,-0.0005
0.49,-0.0005
0.50,-0.000375
0.50,-0.000375
0.50,-0.0005
0.51,-0.0005
0.51,-0.0005
0.52,-0.000375
0.52,-0.000375
0.52,-0.00025
0.53,-0.000625
0.53,-0.000625
0.54,-0.000375
0.54,-0.000375
0.54,-0.000375
0.55,-0.000375
0.55,-0.000375
0.56,-0.0005
0.56,-0.0005
0.56,-0.000375
0.57,-0.00075
0.57,-0.00075
0.58,-0.000375
0.58,-0.000375
0.58,-0.00025
0.59,-0.0005
0.59,-0.0005
0.60,-0.00025
0.60,-0.00025
0.60,-0.000375
0.61,-0.000375
0.61,-0.000375
0.62,-0.000375
0.62,-0.000375
0.62,-0.000375
0.63,-0.000375
0.63,-0.0005
0.64,-0.000375
0.64,-0.000375
0.64,-0.000375
0.65,-0.000375
0.65,-0.0005
0.66,-0.0005
0.66,-0.0005
0.66,-0.0005
0.67,-0.0005
0.67,-0.0005
0.68,-0.0005
0.68,-0.0005
0.68,-0.00025
0.69,-0.00025
0.69,-0.0005
0.70,-0.0005
0.70,-0.0005
0.70,-0.000375
0.71,-0.000375
0.71,-0.000625
0.72,-0.000625
0.72,-0.000625
0.72,-0.0005
0.73,-0.0005
0.73,-0.0005
0.74,-0.0005
0.74,-0.000375
0.74,-0.000375
0.75,-0.000375
0.75,-0.0005
0.76,-0.0005
0.76,-0.0005
0.76,-0.0005
0.77,-0.0005
0.77,-0.000625
0.78,-0.000625
0.78,-0.000375
0.78,-0.0005
0.79,-0.0005
0.79,-0.000125
0.80,-0.000125
0.80,-0.000375
0.80,-0.0005
0.81,-0.0005
0.81,-0.000375
0.82,-0.000375
0.82,-0.0005
0.82,-0.0005
0.83,-0.000375
0.83,-0.0005
0.84,-0.0005
0.84,-0.0005
0.84,-0.0005
0.85,-0.000375
0.85,-0.000375
0.86,-0.000375
0.86,-0.0005
0.86,-0.0005
0.87,-0.000375
0.87,-0.0005
0.88,-0.0005
0.88,-0.000375
0.88,-0.000375
0.89,-0.000375
0.89,-0.0005
0.90,-0.0005
0.90,-0.0005
0.90,-0.0005
0.91,-0.000375
0.91,-0.000375
0.92,-0.0005
0.92,-0.000375
0.92,-0.000375
0.93,-0.0005
0.93,-0.0005
0.94,-0.0005
0.94,-0.0005
0.94,-0.0005
0.95,-0.0005
0.95,-0.0005
0.96,-0.0005
0.96,-0.000375
0.96,-0.000375
0.97,-0.000375
0.97,-0.000375
0.98,-0.0005
0.98,-0.0005
0.98,-0.0005
0.99,-0.000375
0.99,-0.000375
1.00,-0.0005
1.00,-0.000375
1.00,-0.000375
1.01,-0.000375
1.01,-0.000375
1.02,-0.000375
1.02,-0.0005
1.02,-0.0005
1.03,-0.0005
1.03,-0.0005
1.04,-0.0005
1.04,-0.0005
1.04,-0.00025
1.05,-0.0005
1.05,-0.0005
1.06,-0.000375
1.06,-0.0005
1.06,-0.0005
1.07,-0.0005
1.07,-0.0005
1.08,-0.0005
1.08,-0.0005
1.08,-0.0005
1.09,-0.00025
1.09,-0.0005
1.10,-0.0005
1.10,-0.000375
1.10,-0.000375
1.11,-0.000375
1.11,-0.0005
1.12,-0.0005
1.12,-0.0005
1.12,-0.0005
1.13,-0.000375
1.13,-0.000375
1.14,-0.000375
1.14,-0.000375
1.14,-0.000375
1.15,-0.0005
1.15,-0.0005
1.16,-0.0005
