Time(s),Degrees of Rotation
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,-0.00823974609375
0.5,-0.00823974609375
0.6,0.0
0.7,0.00823974609375
0.8,-0.00823974609375
0.9,-0.00823974609375
1.0,-0.00823974609375
1.1,0.0
1.2,-0.00823974609375
1.3,0.0
1.4,-0.00823974609375
1.5,0.0
1.6,-0.00823974609375
1.7,0.0
1.8,-0.00823974609375
1.9,0.0
2.0,38.726806640625
2.1,84.8529052734375
2.2,84.7869873046875
2.3,84.54803466796875
2.4,84.63043212890625
2.5,84.935302734375
2.6,84.9847412109375
2.7,84.9517822265625
2.8,84.79522705078125
2.9,85.05889892578125
3.0,84.91058349609375
3.1,84.7540283203125
3.2,84.605712890625
3.3,84.3585205078125
3.4,84.38323974609375
3.5,84.407958984375
3.6,84.407958984375
3.7,84.407958984375
3.8,84.38323974609375
3.9,84.1937255859375
4.0,84.0618896484375
4.1,83.4521484375
4.2,83.0731201171875
4.3,81.07086181640625
4.4,19.76715087890625
4.5,-0.0164794921875
4.6,-0.00823974609375
4.7,-0.00823974609375
4.8,-0.0164794921875
4.9,0.0
5.0,-0.00823974609375
5.1,-0.00823974609375
5.2,0.0
5.3,-0.00823974609375
5.4,-0.00823974609375
5.5,-0.00823974609375
5.6,-0.00823974609375
5.7,-0.00823974609375
5.8,-0.00823974609375
5.9,-0.00823974609375
6.0,0.0
6.1,-0.00823974609375
6.2,-0.00823974609375
6.3,0.0
6.4,-0.00823974609375
6.5,-0.00823974609375
6.6,-0.00823974609375
6.7,33.74176025390625
6.8,91.23870849609375
6.9,91.5765380859375
7.0,91.45294189453125
7.1,91.527099609375
7.2,91.494140625
7.3,91.48590087890625
7.4,91.4117431640625
7.5,91.23046875
7.6,91.1480712890625
7.7,91.05743408203125
7.8,91.15631103515625
7.9,91.17279052734375
8.0,91.30462646484375
8.1,91.3623046875
8.2,91.28814697265625
8.3,91.22222900390625
8.4,91.22222900390625
8.5,91.2469482421875
8.6,91.131591796875
8.7,91.0986328125
8.8,90.802001953125
8.9,91.1480712890625
9.0,91.1151123046875
9.1,68.9007568359375
9.2,0.04119873046875
9.3,-0.00823974609375
9.4,-0.00823974609375
9.5,-0.00823974609375
9.6,-0.00823974609375
9.7,0.0
9.8,-0.00823974609375
9.9,0.0
10.0,-0.00823974609375
10.1,-0.00823974609375
10.2,-0.00823974609375
10.3,0.0
10.4,-0.00823974609375
10.5,-0.00823974609375
10.6,-0.00823974609375
10.7,0.0
10.8,0.0
10.9,-0.00823974609375
11.0,-0.00823974609375
11.1,-0.00823974609375
11.2,-0.00823974609375
11.3,0.0
11.4,-0.00823974609375
11.5,-0.00823974609375
11.6,-0.0164794921875
11.7,0.0
11.8,-0.00823974609375
11.9,-0.00823974609375
12.0,-0.00823974609375
12.1,-0.00823974609375
12.2,12.35137939453125
12.3,80.72479248046875
12.4,91.94732666015625
12.5,91.78253173828125
12.6,91.79901123046875
12.7,91.6754150390625
12.8,91.6754150390625
12.9,91.2469482421875
13.0,91.197509765625
13.1,91.1810302734375
13.2,91.131591796875
13.3,91.1480712890625
13.4,91.38702392578125
13.5,91.395263671875
13.6,91.3623046875
13.7,91.3787841796875
13.8,91.1810302734375
13.9,91.35406494140625
14.0,91.29638671875
14.1,91.3458251953125
14.2,91.30462646484375
14.3,91.32110595703125
14.4,88.12408447265625
14.5,22.09075927734375
14.6,-0.0164794921875
14.7,-0.00823974609375
14.8,-0.00823974609375
14.9,-0.00823974609375
15.0,-0.00823974609375
15.1,-0.0164794921875
15.2,-0.00823974609375
15.3,-0.00823974609375
15.4,-0.00823974609375
15.5,0.0
15.6,-0.00823974609375
15.7,-0.00823974609375
15.8,-0.00823974609375
15.9,-0.00823974609375
16.0,0.0
16.1,-0.00823974609375
16.2,-0.00823974609375
16.3,-0.00823974609375
16.4,-0.00823974609375
16.5,0.0
16.6,-0.00823974609375
16.7,0.0
16.8,17.29522705078125
16.9,83.5015869140625
17.0,91.8896484375
17.1,91.88140869140625
17.2,91.790771484375
17.3,91.78253173828125
17.4,91.66717529296875
17.5,91.65069580078125
17.6,91.55181884765625
17.7,91.55181884765625
17.8,91.593017578125
17.9,91.6094970703125
18.0,91.51885986328125
18.1,91.53533935546875
18.2,91.494140625
18.3,91.53533935546875
18.4,91.18927001953125
18.5,91.25518798828125
18.6,91.2469482421875
18.7,91.20574951171875
18.8,91.3623046875
18.9,73.75396728515625
19.0,1.07940673828125
19.1,-0.00823974609375
19.2,-0.00823974609375
19.3,-0.00823974609375
19.4,0.0
19.5,-0.00823974609375
19.6,-0.00823974609375
19.7,0.0
19.8,0.0
19.9,-0.00823974609375
20.0,-0.00823974609375
20.1,-0.0164794921875
20.2,0.0
20.3,0.0
20.4,-0.00823974609375
20.5,-0.00823974609375
20.6,-0.00823974609375
20.7,0.0
20.8,-0.00823974609375
20.9,0.0
21.0,-0.00823974609375
21.1,-0.00823974609375
21.2,-0.00823974609375
21.3,-0.00823974609375
21.4,0.0
21.5,-0.00823974609375
21.6,3.9385986328125
21.7,75.21240234375
21.8,90.95855712890625
21.9,91.03271484375
22.0,90.72784423828125
22.1,90.56304931640625
22.2,90.703125
22.3,90.64544677734375
22.4,90.8843994140625
22.5,90.90087890625
22.6,90.89263916015625
22.7,90.87615966796875
22.8,90.9173583984375
22.9,90.8514404296875
23.0,90.867919921875
23.1,90.82672119140625
23.2,90.74432373046875
23.3,90.8184814453125
23.4,90.867919921875
23.5,90.81024169921875
23.6,90.8349609375
23.7,90.6207275390625
23.8,90.56304931640625
23.9,90.538330078125
24.0,90.538330078125
24.1,90.53009033203125
24.2,62.16888427734375
24.3,0.00823974609375
24.4,-0.00823974609375
24.5,-0.00823974609375
24.6,-0.00823974609375
24.7,0.0
24.8,0.0
24.9,-0.00823974609375
25.0,-0.00823974609375
25.1,0.0
25.2,-0.00823974609375
25.3,0.0
25.4,-0.00823974609375
25.5,-0.00823974609375
25.6,-0.00823974609375
25.7,-0.00823974609375
25.8,-0.00823974609375
25.9,-0.00823974609375
26.0,-0.00823974609375
26.1,-0.00823974609375
26.2,-0.00823974609375
26.3,-0.00823974609375
26.4,-0.00823974609375
26.5,-0.00823974609375
26.6,9.33563232421875
26.7,78.15399169921875
26.8,90.472412109375
26.9,90.39825439453125
27.0,90.4559326171875
27.1,90.3900146484375
27.2,90.43121337890625
27.3,90.34881591796875
27.4,90.11810302734375
27.5,90.08514404296875
27.6,90.0604248046875
27.7,89.912109375
27.8,90.2911376953125
27.9,90.28289794921875
28.0,90.24993896484375
28.1,90.28289794921875
28.2,90.2252197265625
28.3,90.26641845703125
28.4,90.208740234375
28.5,90.24993896484375
28.6,90.208740234375
28.7,90.11810302734375
28.8,90.0604248046875
28.9,90.15106201171875
29.0,90.1922607421875
29.1,90.24993896484375
29.2,89.9615478515625
29.3,76.893310546875
29.4,4.3505859375
29.5,-0.00823974609375
29.6,-0.00823974609375
29.7,-0.00823974609375
29.8,0.0
29.9,-0.00823974609375
30.0,-0.00823974609375
30.1,-0.00823974609375
30.2,0.0
30.3,-0.00823974609375
30.4,-0.00823974609375
30.5,-0.00823974609375
30.6,-0.00823974609375
30.7,0.0
30.8,-0.00823974609375
30.9,-0.00823974609375
31.0,-0.00823974609375
31.1,-0.00823974609375
31.2,-0.00823974609375
31.3,-0.00823974609375
31.4,-0.00823974609375
31.5,-0.00823974609375
31.6,0.0
31.7,0.0
31.8,0.0
31.9,-0.00823974609375
32.0,-0.00823974609375
32.1,35.6121826171875
32.2,89.945068359375
32.3,90.48065185546875
32.4,90.406494140625
32.5,90.44769287109375
